"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"28769","울주덕신원룸점","울산광역시 울주군 온산읍 용방소8길 10","","","35.4270404513749","129.30900774542","2024-12-27","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28771","이천소망병원점","경기도 이천시 호법면 중부대로 797-26","","","37.2451839613626","127.421669846284","2025-01-01","","09:00","19:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28772","홍성대학로점","충청남도 홍성군 홍성읍 대학길 66","","","36.5764029434802","126.659419832538","2025-01-13","","00:00","00:00",1,1,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28773","쿠팡인천14센터점","인천광역시 중구 축항대로165번길 20","9층","","37.4538868833303","126.617094565274","2025-01-01","","08:00","17:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28774","문광주유소점","인천광역시 남동구 백범로 423","","","37.4673540162003","126.70420938283","2025-01-01","","04:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28775","서산석림한성점","충청남도 서산시 동서2로 15","상가동 108호","","36.7747513163019","126.468459504807","2025-01-03","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28776","국립광주과학관점","광주광역시 북구 첨단과기로 235","","","35.2299078085943","126.849870484009","2025-01-05","","09:00","18:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28777","SMART조선대치과대점","광주광역시 동구 필문대로 303","치과대학 3층","","35.1444791714055","126.926783624612","2024-12-31","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28779","안양마인빌점","경기도 안양시 만안구 만안로 284","112,113,114,115호","","37.4051296978051","126.919313692973","2025-01-13","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28781","센트럴판교점","경기도 성남시 수정구 금토로80번길 55","106호","","37.4077367535165","127.089513380945","2024-12-30","","08:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28782","가천대길병원점","인천광역시 남동구 남동대로 773","","","37.4515676940773","126.707535805304","2025-01-01","","07:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
